area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Worli,1 BHK,RookaJh,1100,2,,75
Super built-up  Area,Ready To Move,Kurla,2 BHK,,1050,2,1,36
Super built-up  Area,Ready To Move,Chembur,3 BHK,Mayne A,1260,2,1,75
Super built-up  Area,Ready To Move,Khar,5 BHK,,2800,3,2,425
Super built-up  Area,Ready To Move,Dadar,3 BHK,,1500,3,2,56
Plot  Area,Ready To Move,Ghatkopar,6 Bedroom,Coronte,1200,6,3,132
Plot  Area,18-May,Chembur,2 Bedroom,,1000,2,0,66
Super built-up  Area,Ready To Move,Chembur,3 BHK,PaantPl,1530,3,3,73
Super built-up  Area,Ready To Move,Worli,2 BHK,NRosete,1140,2,2,46
Super built-up  Area,Ready To Move,Dadar,3 BHK,AlEcone,1864,3,3,115
Built-up  Area,Ready To Move,Chembur,3 BHK,Coa It ,1575,3,3,55
Plot  Area,18-Dec,Santacruz,3 Bedroom,AkArkti,1200,3,,105
Super built-up  Area,Ready To Move,Borivali,2 BHK,Deade A,945,2,1,45
Super built-up  Area,Ready To Move,Malad,3 BHK,Klark L,1691,3,2,100
Plot  Area,Ready To Move,Khar,2 Bedroom,,1200,2,3,135
Built-up  Area,18-Aug,Mulund,3 BHK,Sryalan,1220,3,1,35.25
Built-up  Area,Ready To Move,Andheri,1 BHK,KHnumla,600,1,1,35
Super built-up  Area,18-Aug,Goregaon,2 BHK,SSdhimr,1160,2,2,39
Super built-up  Area,Ready To Move,Colaba,3 BHK,AlEcone,1950,2,,89.5
Super built-up  Area,Ready To Move,Khar,3 BHK,Prlla C,1650,3,1,85
Built-up  Area,Ready To Move,Mulund,4 Bedroom,,2400,4,1,150
Super built-up  Area,Ready To Move,Santacruz,2 BHK,SLtias ,795,1,1,32.6
Plot  Area,Ready To Move,Colaba,5 Bedroom,,800,5,1,95
Plot  Area,Ready To Move,Juhu,5 Bedroom,,1400,5,1,97
Super built-up  Area,Ready To Move,Bandra,3 BHK,,2285,4,1,165
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,RInceeg,1243,2,2,46
Super built-up  Area,Ready To Move,Juhu,2 BHK,DiiteR ,1263,2,1,51.5
Super built-up  Area,Ready To Move,Powai,5 BHK,,1200,4,2,115
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,SLureSi,1345,2,1,69
Built-up  Area,Ready To Move,Chembur,5 Bedroom,,4400,5,3,240
Super built-up  Area,Ready To Move,Juhu,3 BHK,GMown E,1360,2,1,58
Super built-up  Area,Ready To Move,Powai,2 BHK,,1026,2,1,60.55
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,,1050,2,2,38
Super built-up  Area,Ready To Move,Kurla,3 BHK,,1460,3,3,76
Super built-up  Area,Ready To Move,Malad,3 BHK,,1525,2,2,91.48
Built-up  Area,Ready To Move,Lower Parel,3 BHK,PuandHi,1843,3,2,85
Super built-up  Area,18-Aug,Bandra,2 BHK,,1000,2,3,25
Super built-up  Area,Ready To Move,Powai,3 BHK,KHage G,1642,2,1,115
Plot  Area,Ready To Move,Santacruz,3 Bedroom,,1200,2,0,66
Super built-up  Area,Ready To Move,Mulund,2 BHK,,975,2,1,60
Super built-up  Area,Ready To Move,Santacruz,3 BHK,Prityel,1075,2,1,44
Super built-up  Area,18-Feb,Lower Parel,2 BHK,,1210,2,1,77.93
Super built-up  Area,Ready To Move,Powai,3 BHK,,2000,3,2,100
Super built-up  Area,Ready To Move,Worli,2 BHK,DLhtsnd,1225,2,0,68
Super built-up  Area,Ready To Move,Dadar,2 BHK,HRaniIb,1290,2,1,80.04
Built-up  Area,Ready To Move,Mulund,2 BHK,,1220,2,0,56
Plot  Area,Ready To Move,Worli,1 Bedroom,,1500,2,0,85
Super built-up  Area,Ready To Move,Colaba,2 BHK,Maisehi,1361,2,2,79
Plot  Area,Ready To Move,Mulund,5 Bedroom,,2801.25,4,1,462
Built-up  Area,Ready To Move,Khar,2 BHK,NCaveun,1394,2,2,85
Super built-up  Area,Ready To Move,Powai,2 BHK,,870,2,1,27
Plot  Area,Ready To Move,Ghatkopar,4 Bedroom,,5000,5,3,300
Super built-up  Area,18-May,Khar,2 BHK,Pumesim,1222,2,2,98
Super built-up  Area,Ready To Move,Worli,2 BHK,Mahosya,1420,2,1,99.39
Super built-up  Area,Ready To Move,Malad,3 BHK,,1846,3,2,135
Plot  Area,Ready To Move,Lower Parel,2 Bedroom,,1688.12,2,1,270
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,IBityin,1167,2,2,64.08
Super built-up  Area,Ready To Move,Borivali,2 BHK,,902,2,2,25
Super built-up  Area,Ready To Move,Khar,4 BHK,,2422,4,3,135
Super built-up  Area,Ready To Move,Chembur,2 BHK,,1050,2,2,52.5
Built-up  Area,Ready To Move,Malad,2 BHK,,1000,2,0,50
Built-up  Area,Ready To Move,Malad,2 BHK,,1260,2,0,58
Built-up  Area,Ready To Move,Bandra,3 Bedroom,,3000,3,2,450
Super built-up  Area,Ready To Move,Bandra,2 BHK,DLhtsen,939,2,2,39
Plot  Area,Ready To Move,Worli,9 Bedroom,,1590,6,1,150
Plot  Area,Ready To Move,Mulund,1 Bedroom,,600,1,0,37
Built-up  Area,Ready To Move,Santacruz,2 BHK,,1298,2,1,59
Super built-up  Area,Ready To Move,Powai,3 BHK,Asintas,1710,3,2,135
Super built-up  Area,Ready To Move,Borivali,2 BHK,Srnumum,1000,2,1,45
Super built-up  Area,Ready To Move,Khar,3 BHK,Reitice,3350,3,3,150
Plot  Area,Ready To Move,Colaba,2 Bedroom,,1200,4,1,138
Built-up  Area,Ready To Move,Santacruz,2 BHK,,1100,2,2,68
Super built-up  Area,Ready To Move,Chembur,1 BHK,Vaniai ,615,1,1,46
Super built-up  Area,18-Apr,Colaba,2 BHK,PualeSk,1350,2,1,85
Built-up  Area,Ready To Move,Santacruz,4 Bedroom,,5000,5,2,325
Super built-up  Area,Ready To Move,Juhu,3 BHK,Lelia M,2700,3,1,501
Plot  Area,Ready To Move,Ghatkopar,6 Bedroom,,4000,6,2,460
Super built-up  Area,Ready To Move,Juhu,3 BHK,Soiniy ,1718,3,2,130
Super built-up  Area,Ready To Move,Worli,3 BHK,Eladero,1680,3,2,112
Plot  Area,Ready To Move,Borivali,2 Bedroom,,1500,2,0,90
Super built-up  Area,18-May,Juhu,3 BHK,AsastDe,1157,2,1,72
Super built-up  Area,Ready To Move,Juhu,2 BHK,,1179,2,1,51
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,RatosAr,1255 - 1375,2,0,60.48
Super built-up  Area,18-Mar,Lower Parel,2 BHK,,1105,2,2,28.18
Super built-up  Area,Ready To Move,Bandra,3 BHK,Bregae ,1800,3,2,175
Super built-up  Area,Ready To Move,Santacruz,2 BHK,ShshaSa,1010,2,1,52
Super built-up  Area,18-Jan,Colaba,1 BHK,Prarkun,630,1,1,46
Plot  Area,19-Apr,Malad,2 Bedroom,,1200,2,1,36.1
Super built-up  Area,Ready To Move,Juhu,2 BHK,,1025,2,1,60
Super built-up  Area,Ready To Move,Goregaon,2 BHK,,1195,2,2,59
Super built-up  Area,18-Feb,Worli,2 BHK,Alsta F,1012,2,1,58
Super built-up  Area,Ready To Move,Malad,3 BHK,SoitaCa,1884,4,2,118
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,Soe 2as,1090,2,1,37
Super built-up  Area,Ready To Move,Santacruz,3 BHK,Prone M,1300,3,2,77.99
Super built-up  Area,Ready To Move,Kurla,4 BHK,IDldsin,2950,4,2,250
Super built-up  Area,Ready To Move,Goregaon,3 BHK,SrEndPo,1710,3,3,85
Super built-up  Area,Ready To Move,Powai,3 BHK,,1500,3,1,68
Super built-up  Area,Ready To Move,Worli,3 BHK,Jae 1ke,1310,2,2,53
Super built-up  Area,18-Dec,Mulund,2 BHK,,674,1,1,19.9
Built-up  Area,Ready To Move,Bandra,3 BHK,,1350,3,2,70
Built-up  Area,Ready To Move,Bandra,3 BHK,PlhtsHe,1464,2,2,115
Built-up  Area,Ready To Move,Ghatkopar,3 BHK,Asara S,715,2,1,29
Built-up  Area,18-Dec,Santacruz,3 BHK,,1400,2,1,40.45
Super built-up  Area,19-Dec,Borivali,3 BHK,DSineSt,1625,2,2,48.75
Built-up  Area,18-Dec,Colaba,2 BHK,,1065,2,1,30.76
Plot  Area,Ready To Move,Juhu,6 Bedroom,,510,4,1,70
Super built-up  Area,Ready To Move,Dadar,3 BHK,,1385,3,3,90
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,JKmesHo,1040,2,1,50
Super built-up  Area,Ready To Move,Colaba,3 BHK,,1817,3,2,110
Super built-up  Area,Ready To Move,Worli,2 BHK,PSterAs,1205,2,1,47
Super built-up  Area,Ready To Move,Powai,2 BHK,,1070,2,2,33.43
Super built-up  Area,Ready To Move,Malad,2 BHK,,1070,2,1,52
Super built-up  Area,Ready To Move,Colaba,2 BHK,,1340,2,1,75
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,ARomee ,980,2,2,35
Built-up  Area,Ready To Move,Colaba,2 BHK,SVthaho,1006,2,0,44
Super built-up  Area,Ready To Move,Khar,2 BHK,Bhmesy ,1098,2,1,71
Built-up  Area,Ready To Move,Powai,2 BHK,MyeurGr,1200,2,1,53.5
Super built-up  Area,Ready To Move,Dadar,4 BHK,Prtanha,4190,4,,325
Super built-up  Area,Ready To Move,Colaba,2 BHK,Ahriaup,1019,2,1,62
Super built-up  Area,18-May,Juhu,2 BHK,,1150,2,2,40.21
Plot  Area,Ready To Move,Dadar,3 Bedroom,Vaensnd,1733.5,3,1,120
Super built-up  Area,Ready To Move,Bandra,2 BHK,Essic C,1415,2,2,120
Built-up  Area,21-Dec,Khar,3 BHK,,1750,3,2,58
Super built-up  Area,18-Dec,Dadar,3 BHK,,1537,3,2,81
Built-up  Area,Ready To Move,Lower Parel,2 BHK,Mawerer,1050,2,2,45
Super built-up  Area,Ready To Move,Mulund,3 BHK,JRrnauv,1452,3,3,55.6
Super built-up  Area,Ready To Move,Bandra,2 BHK,IBictnd,1246,2,1,95
Built-up  Area,Ready To Move,Vile Parle,3 BHK,PrrloMo,1890,4,2,85
Super built-up  Area,18-May,Worli,2 BHK,MJtroty,972,2,1,40
Plot  Area,Ready To Move,Mulund,4 Bedroom,,10624,4,2,2340
Plot  Area,Ready To Move,Bandra,4 Bedroom,Goodsrb,1500,5,3,160
Super built-up  Area,18-Aug,Juhu,1 BHK,Prarkun,630,1,1,33.7
Plot  Area,18-Mar,Ghatkopar,8 Bedroom,,1050,5,0,80
Built-up  Area,Ready To Move,Malad,3 BHK,,1255,2,1,60
Plot  Area,Ready To Move,Colaba,4 Bedroom,,1900,4,2,185
Plot  Area,Ready To Move,Khar,3 Bedroom,,2440,3,1,142
Super built-up  Area,21-May,Santacruz,3 BHK,GolusLi,1938,3,3,92.69
Super built-up  Area,Ready To Move,Colaba,3 BHK,,1711,3,2,125
Plot  Area,Ready To Move,Santacruz,5 Bedroom,,1200,4,3,240
Super built-up  Area,18-Jul,Goregaon,2 BHK,Pu270a ,1392,2,1,95
Super built-up  Area,18-Mar,Santacruz,2 BHK,SNnia E,1225,2,1,77
Super built-up  Area,Ready To Move,Mulund,4 BHK,Saitya ,3418,3,,235
Super built-up  Area,Ready To Move,Goregaon,3 BHK,Soweray,1750,3,2,120
Super built-up  Area,Ready To Move,Powai,3 BHK,Mayne A,1260,2,1,80
Super built-up  Area,19-Dec,Borivali,1 BHK,AsastDe,691,1,1,31.1
Plot  Area,Ready To Move,Vile Parle,4 Bedroom,,2400,3,2,400
Super built-up  Area,Ready To Move,Juhu,2 BHK,NDionas,1285,2,1,78
Built-up  Area,Ready To Move,Vile Parle,3 BHK,Thuse F,1590,3,2,96
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,JSyane ,1571,3,2,65
Built-up  Area,Ready To Move,Juhu,5 Bedroom,,2800,5,1,220
Super built-up  Area,Ready To Move,Borivali,2 BHK,,1060,2,1,48.66
Super built-up  Area,Ready To Move,Powai,2 BHK,Shateor,1255,2,1,58
Plot  Area,Ready To Move,Lower Parel,4 Bedroom,,702,4,0,65
Plot  Area,Ready To Move,Juhu,3 Bedroom,,2400,2,2,185
Super built-up  Area,Ready To Move,Worli,3 BHK,SNity S,1520,2,3,81
Super built-up  Area,Ready To Move,Khar,3 BHK,Wiowsri,1430 - 1630,,,70.99
Super built-up  Area,Ready To Move,Dadar,2 BHK,MJlese ,1170,2,1,45.51
Super built-up  Area,Ready To Move,Santacruz,3 BHK,,1580,3,2,75
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,SoystAm,1777.26,3,2,89
Super built-up  Area,Ready To Move,Santacruz,2 BHK,GrrvaGr,1303,2,2,55.78
Built-up  Area,Ready To Move,Dadar,2 BHK,,1680,2,3,59
Built-up  Area,Ready To Move,Worli,3 BHK,Sonviik,1495,2,,70
Super built-up  Area,18-Mar,Andheri,3 BHK,Miitat ,1835,3,1,108
Plot  Area,Ready To Move,Dadar,3 Bedroom,,610,3,1,60
Built-up  Area,Ready To Move,Santacruz,2 BHK,,1080,2,2,38
Built-up  Area,18-Dec,Bandra,2 BHK,,1025,2,1,29.61
Super built-up  Area,18-Aug,Worli,2 BHK,SNnia E,1225,2,1,67.48
Super built-up  Area,20-Jan,Malad,1 BHK,Soresea,656,1,1,34.77
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Ascid P,994,2,2,45
Super built-up  Area,Ready To Move,Colaba,2 BHK,Pao 2Sm,1025,2,1,65
Built-up  Area,Ready To Move,Mulund,2 BHK,VRave E,1156,2,2,52
Super built-up  Area,Ready To Move,Juhu,2 BHK,Maarkr ,1250,2,2,60
Built-up  Area,Ready To Move,Goregaon,4 Bedroom,Roima A,3092,4,3,230
Super built-up  Area,Ready To Move,Colaba,3 BHK,SoitaCa,1930,4,2,122
Built-up  Area,Ready To Move,Kurla,2 BHK,Saeraep,1020,2,1,70
Built-up  Area,Ready To Move,Worli,3 BHK,,1310,2,1,70
Super built-up  Area,19-Dec,Bandra,1 BHK,Vaniai ,610 - 615,1,0,27.565
Built-up  Area,Ready To Move,Ghatkopar,2 BHK,Prdhue ,1322,2,3,70
Super built-up  Area,Ready To Move,Powai,2 BHK,,1160,2,2,57
Super built-up  Area,Ready To Move,Bandra,2 BHK,,1100,2,2,48
Built-up  Area,Ready To Move,Colaba,3 BHK,RothaVa,1720,3,3,150
Super built-up  Area,18-Jul,Kurla,3 BHK,PuendWe,1689,3,2,103
Super built-up  Area,Ready To Move,Khar,2 BHK,,1090,2,1,47.42
Super built-up  Area,Ready To Move,Andheri,2 BHK,,2000,2,0,75
Super built-up  Area,Ready To Move,Kurla,2 BHK,Patust ,1155,2,2,69
Built-up  Area,Ready To Move,Colaba,6 Bedroom,,4000,6,0,230
Built-up  Area,18-Jun,Borivali,4 Bedroom,Marthur,3913,5,0,176
Super built-up  Area,Ready To Move,Goregaon,3 BHK,Brium C,3520,5,2,320
Super built-up  Area,18-Jun,Dadar,2 BHK,,1125,2,2,39.98
Built-up  Area,18-Apr,Powai,3 BHK,Hotat H,1847,3,3,92
Super built-up  Area,Ready To Move,Powai,3 BHK,Srncya ,1515,2,1,76
Plot  Area,Ready To Move,Dadar,8 Bedroom,,3450,7,2,225
Plot  Area,Ready To Move,Malad,5 Bedroom,,2500,3,1,120
Built-up  Area,Ready To Move,Malad,2 BHK,Srntssh,1130,2,2,55
Super built-up  Area,Ready To Move,Juhu,2 BHK,Goner C,1049,2,1,51
Super built-up  Area,Ready To Move,Bandra,3 BHK,,2650,4,0,175
Super built-up  Area,18-Dec,Powai,2 BHK,,850,2,1,25.4
Super built-up  Area,20-Jan,Goregaon,3 BHK,DNncasa,1842,3,2,115
Plot  Area,Ready To Move,Powai,5 Bedroom,,2600,5,3,370
Super built-up  Area,20-Dec,Kurla,2 BHK,ArndsSk,1282,2,1,72
Super built-up  Area,Ready To Move,Chembur,2 BHK,PrncyRe,800,2,1,40
Plot  Area,Ready To Move,Andheri,4 Bedroom,,1200,4,2,240
Super built-up  Area,18-Sep,Colaba,3 BHK,SunceEs,1190,2,2,30.35
Super built-up  Area,18-May,Santacruz,3 BHK,Vrenty ,1318,2,1,68
Super built-up  Area,19-Jul,Dadar,2 BHK,Soazak ,1698,2,1,105
Super built-up  Area,Ready To Move,Mulund,3 BHK,,2030,2,1,182
Super built-up  Area,Ready To Move,Santacruz,3 BHK,DSOakil,1276,2,1,31.9
Super built-up  Area,Ready To Move,Worli,3 BHK,Maenara,1555,2,1,67
Super built-up  Area,17-May,Ghatkopar,3 BHK,Ahriaup,1881,3,2,145
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,,2900,3,2,325
Super built-up  Area,18-Jul,Borivali,3 BHK,Miitat ,1890,3,2,109
Super built-up  Area,Ready To Move,Khar,5 BHK,,900,5,,135
Super built-up  Area,20-Dec,Khar,2 BHK,SheldGr,935,2,1,32
Super built-up  Area,Ready To Move,Borivali,2 BHK,Santspa,1000,2,3,58
Super built-up  Area,Ready To Move,Dadar,3 BHK,,1510,3,2,75
Built-up  Area,Ready To Move,Vile Parle,2 BHK,,1120,2,1,50
Super built-up  Area,Ready To Move,Malad,2 BHK,,930,2,1,25.99
Super built-up  Area,Ready To Move,Mulund,3 BHK,Itvir M,1160,2,2,42
Super built-up  Area,Ready To Move,Bandra,2 BHK,GrrvaGr,1419,2,2,48.1
Super built-up  Area,Ready To Move,Kurla,2 BHK,,1175,2,2,62
Built-up  Area,Ready To Move,Colaba,3 BHK,DSsorin,1350,2,1,63
Super built-up  Area,Ready To Move,Kurla,3 BHK,Sariaat,2215,3,2,330
Super built-up  Area,Ready To Move,Juhu,2 BHK,DSvar S,996,2,1,24.9
Super built-up  Area,19-Dec,Ghatkopar,2 BHK,DSapeto,1076,2,1,30.13
Super built-up  Area,Ready To Move,Ghatkopar,4 BHK,,2180,4,3,115
Super built-up  Area,Ready To Move,Worli,3 BHK,HMonymp,1715,3,3,112
Super built-up  Area,Ready To Move,Juhu,2 BHK,Srntsha,1072,2,2,45
Super built-up  Area,Ready To Move,Worli,2 BHK,SVnamnd,1230,2,1,80
Super built-up  Area,Ready To Move,Kurla,3 BHK,,1600,2,1,65
Super built-up  Area,18-Dec,Mulund,3 BHK,Bhe 2ko,1411,3,1,93.25
Built-up  Area,Ready To Move,Mulund,5 BHK,,3600,5,3,145
Super built-up  Area,Ready To Move,Andheri,3 BHK,,2404,3,2,138
Plot  Area,Ready To Move,Santacruz,4 Bedroom,,1200,4,,190
Plot  Area,18-Apr,Juhu,3 Bedroom,,1200,3,2,226
Built-up  Area,Ready To Move,Vile Parle,3 BHK,Srtasno,1208,3,1,45
Plot  Area,Ready To Move,Chembur,5 Bedroom,,1700,5,2,300
Super built-up  Area,18-Dec,Colaba,2 BHK,SNnia E,1225,2,1,69.84
Super built-up  Area,18-Sep,Lower Parel,2 BHK,Arcia S,1162,2,1,69
Super built-up  Area,Ready To Move,Borivali,3 BHK,Pronyt ,1262,2,1,65
Super built-up  Area,18-Apr,Juhu,2 BHK,,1050,2,2,35
Built-up  Area,18-Dec,Andheri,2 BHK,Sryalan,1160,2,1,33.51
Plot  Area,18-Jul,Santacruz,3 Bedroom,,1500,3,1,61.95
Super built-up  Area,Ready To Move,Worli,3 BHK,,1610,3,3,85
Super built-up  Area,Ready To Move,Borivali,2 BHK,SSthamh,1340,2,2,41
Super built-up  Area,Ready To Move,Mulund,3 BHK,Adeatlm,2275,4,2,182
Super built-up  Area,Ready To Move,Colaba,2 BHK,PrityTr,1162,2,1,58
Built-up  Area,Ready To Move,Colaba,2 Bedroom,,1500,2,0,145
Plot  Area,Ready To Move,Chembur,4 Bedroom,,3150,3,1,135
Super built-up  Area,18-Jul,Lower Parel,2 BHK,SJerse ,1170,2,2,65
Super built-up  Area,Ready To Move,Chembur,2 BHK,Mailsaf,980,2,1,25
Built-up  Area,Ready To Move,Dadar,3 BHK,,1800,3,2,60
Super built-up  Area,20-Dec,Kurla,3 BHK,Brens7 ,1423,2,1,71.73
Super built-up  Area,Ready To Move,Dadar,2 BHK,Jaisemi,1106,2,3,40
Built-up  Area,Ready To Move,Lower Parel,2 BHK,Jaood G,1105,2,2,27.6
Plot  Area,Ready To Move,Ghatkopar,4 Bedroom,,7500,6,2,1800
Super built-up  Area,Ready To Move,Mulund,2 BHK,AmiewLa,1255,2,1,56.7
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,Shthi S,1525,2,2,65
Super built-up  Area,17-Aug,Mulund,2 BHK,ARngsd ,1061,2,1,38.95
Plot  Area,19-Mar,Ghatkopar,2 Bedroom,,600,2,2,29.5
Super built-up  Area,18-May,Borivali,3 BHK,Sryalan,1400,2,2,40.45
Super built-up  Area,Ready To Move,Bandra,3 BHK,Saiewas,2100,3,2,145
Super built-up  Area,Ready To Move,Powai,2 BHK,Itelaa ,660,1,1,16.5
Built-up  Area,Ready To Move,Colaba,2 BHK,,633,1,1,18
Super built-up  Area,Ready To Move,Khar,2 BHK,,1260,2,3,120
Super built-up  Area,Ready To Move,Khar,2 BHK,Samukja,854 - 960,2,0,55.43
Super built-up  Area,18-Oct,Mulund,3 BHK,DSapeSk,2047,3,2,67.55
Built-up  Area,Ready To Move,Kurla,4 BHK,,2597,4,3,189
Built-up  Area,Ready To Move,Andheri,2 BHK,,1211,2,1,63
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,SaireSa,1904,3,2,129
Super built-up  Area,20-Jan,Malad,2 BHK,Soresea,1205,2,1,73.87
Super built-up  Area,Ready To Move,Dadar,2 BHK,IBityin,1164,2,2,64.08
Super built-up  Area,Ready To Move,Powai,2 BHK,Vaodak ,1410,2,2,73
Built-up  Area,Ready To Move,Khar,2 BHK,DSeme S,1150,2,1,42
Super built-up  Area,18-Jul,Chembur,2 BHK,Plowsri,1170,2,2,53.11
Built-up  Area,Ready To Move,Mulund,2 BHK,,1420,2,1,62
Super built-up  Area,Ready To Move,Mulund,2 BHK,,1125,2,2,45
Built-up  Area,Ready To Move,Colaba,3 BHK,Mancy R,1789,3,3,75
Super built-up  Area,Ready To Move,Khar,2 BHK,NiarkHy,1021,2,1,76
Super built-up  Area,18-May,Andheri,2 BHK,,1074,2,2,26.85
Super built-up  Area,Ready To Move,Borivali,2 BHK,NDfelip,1222,2,3,48
Super built-up  Area,Ready To Move,Kurla,3 BHK,SaireSa,1981,3,1,134
Built-up  Area,Ready To Move,Worli,2 BHK,,1103,2,2,55
Super built-up  Area,Ready To Move,Santacruz,2 BHK,Vencyha,1201,2,1,65
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,Shthi S,970,2,1,36
Super built-up  Area,Ready To Move,Mulund,2 BHK,Sondaka,920,2,2,33
Super built-up  Area,Ready To Move,Chembur,3 BHK,IBityin,1520,3,3,85
Plot  Area,Ready To Move,Vile Parle,3 Bedroom,,675,3,2,75
Super built-up  Area,17-Nov,Powai,3 BHK,Skacak ,1268,2,1,75
Super built-up  Area,Ready To Move,Colaba,1 BHK,,660,1,0,30
Super built-up  Area,Ready To Move,Colaba,3 BHK,Prncyrn,1755,3,2,115
Super built-up  Area,Ready To Move,Chembur,2 BHK,Deiveer,945,2,1,35
Carpet  Area,18-Jul,Chembur,1 BHK,Maian M,500,1,1,33
Super built-up  Area,Ready To Move,Andheri,4 BHK,Shodsir,2650 - 2990,4,0,153.5
Built-up  Area,Ready To Move,Kurla,4 Bedroom,Prana S,1632,3,0,140
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,,1167,2,2,37.5
Super built-up  Area,Ready To Move,Colaba,2 BHK,IBictnd,1276,2,2,80
Built-up  Area,Ready To Move,Bandra,2 BHK,Tenetee,1234,2,2,51
Super built-up  Area,Ready To Move,Andheri,2 BHK,RothaVa,1180,2,1,75
Super built-up  Area,Ready To Move,Worli,3 BHK,Oaines ,1370,2,2,87
Super built-up  Area,18-Sep,Santacruz,2 BHK,SunceEs,1015,2,2,25.88
Plot  Area,Ready To Move,Goregaon,9 Bedroom,,1200,9,3,230
Built-up  Area,Ready To Move,Vile Parle,3 Bedroom,,1400,3,1,90
Plot  Area,Ready To Move,Malad,5 Bedroom,,1500,6,3,155
Plot  Area,Ready To Move,Khar,2 Bedroom,,1050,2,0,40
Super built-up  Area,18-Jul,Vile Parle,2 BHK,ViistLa,1251,2,1,46
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,IBityin,1677,3,,92.13
Super built-up  Area,19-Mar,Worli,2 BHK,PualeSk,1346,2,1,67.38
Built-up  Area,18-Jul,Borivali,2 BHK,Sryalan,1090,2,1,31.48
Plot  Area,Ready To Move,Chembur,5 Bedroom,,1200,4,3,240
Super built-up  Area,Ready To Move,Andheri,3 BHK,SPavenc,1290,2,3,51.1
Super built-up  Area,18-Jul,Dadar,5 BHK,Phaku K,7514,7,,1500
Super built-up  Area,Ready To Move,Bandra,3 BHK,Ahriaup,1881,3,2,145
Super built-up  Area,Ready To Move,Bandra,2 BHK,,1150,2,2,52
Plot  Area,Ready To Move,Goregaon,2 Bedroom,,1.25Acres,2,2,200
Built-up  Area,Ready To Move,Chembur,3 Bedroom,,2690,3,2,295
Super built-up  Area,Ready To Move,Bandra,3 BHK,,1200,2,2,42
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,,86.72Sq. Meter,2,2,40
Super built-up  Area,Ready To Move,Santacruz,3 BHK,Soeurri,2735,4,2,340
Built-up  Area,Ready To Move,Chembur,2 BHK,,950,2,0,65
Built-up  Area,Ready To Move,Colaba,3 BHK,,1491,3,3,40.5
Super built-up  Area,19-Jul,Lower Parel,2 BHK,Vaharvi,1050,2,1,51.66
Super built-up  Area,22-Jun,Andheri,3 BHK,GoAirej,1660,3,2,131
Super built-up  Area,Ready To Move,Khar,2 BHK,,1134,2,2,55
Built-up  Area,Ready To Move,Worli,2 BHK,,1100,2,1,60
Plot  Area,Ready To Move,Borivali,4 Bedroom,,800,4,,60
Plot  Area,19-May,Colaba,2 Bedroom,,1200,2,1,36.1
Plot  Area,Ready To Move,Kurla,4 Bedroom,,1200,4,3,240
Plot  Area,Ready To Move,Goregaon,3 Bedroom,,980,3,1,80
Super built-up  Area,Ready To Move,Mulund,2 BHK,,1080,2,1,37.8
Super built-up  Area,Ready To Move,Khar,1 BHK,Pu270a ,705,2,1,50
Super built-up  Area,Ready To Move,Dadar,3 BHK,,1200,2,2,35
Super built-up  Area,Ready To Move,Borivali,2 BHK,LoLeoen,1200,2,1,50
Super built-up  Area,21-Dec,Dadar,3 BHK,Sodgere,1804,3,2,127
Built-up  Area,Ready To Move,Vile Parle,2 BHK,Dhave E,750,2,0,20
Super built-up  Area,Ready To Move,Juhu,2 BHK,,420,1,1,25
Built-up  Area,Ready To Move,Ghatkopar,4 BHK,,2800,4,2,252
Super built-up  Area,18-May,Andheri,2 BHK,,1090,2,2,38.37
Plot  Area,Ready To Move,Colaba,2 Bedroom,,1500,2,0,230
Built-up  Area,Ready To Move,Juhu,3 BHK,DSgmax ,1287,3,1,55
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,Prtanha,2215,4,2,157
Plot  Area,Ready To Move,Khar,4 Bedroom,,2800,4,,375
Built-up  Area,Ready To Move,Bandra,2 BHK,Usquaya,1045,2,2,42.15
Super built-up  Area,19-Jul,Chembur,2 BHK,,1263,2,1,47.36
Super built-up  Area,Ready To Move,Bandra,3 BHK,SLiand ,1431,3,2,85
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,,999,2,2,32.9
Super built-up  Area,Ready To Move,Santacruz,3 BHK,Prlla C,1650,3,2,85.5
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,VRest N,1535,3,1,72
Super built-up  Area,18-Apr,Goregaon,4 BHK,Prionad,2524,5,2,180
